ID,DESCRIPTION,DESCRIPTION,Energy (kcal),F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks),Protein (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg_RAE)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),"Iron
(mg)",Magnesium (mg),Potassium (mg),"Fatty acids, total saturated (g)",Sodium (mg),Added Sugar (g)
11113000,"Milk, fat free (skim)","Milk, fat free (skim)",34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,64,0.0,0.0,132,0.0,12,167,0.049,41,0.0
11114300,"Milk, lactose free, low fat (1%)","Milk, lactose free, low fat (1%)",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.34,0.0,0.0,3.38,0.0,58,0.0,0.02,126,0.0,12,159,0.568,39,0.0
11114320,"Milk, lactose free, fat free (skim)","Milk, lactose free, fat free (skim)",34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,64,0.0,0.0,132,0.0,12,167,0.049,41,0.0
11114330,"Milk, lactose free, reduced fat (2%)","Milk, lactose free, reduced fat (2%)",50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.29,0.0,0.0,3.35,0.0,83,0.2,0.03,126,0.0,12,159,1.11,39,0.0
11114350,"Milk, lactose free, whole","Milk, lactose free, whole",60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.59,0.0,0.0,3.28,0.0,32,0.0,0.05,123,0.0,12,150,1.86,38,0.0
11115000,"Buttermilk, fat free (skim)","Buttermilk, fat free (skim)",40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.46,0.0,0.0,3.31,0.0,14,1.0,0.05,116,0.05,11,151,0.66,148,0.0
11115100,"Buttermilk, low fat (1%)","Buttermilk, low fat (1%)",40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.46,0.0,0.0,3.31,0.0,14,1.0,0.05,116,0.05,11,151,0.66,148,0.0
11115200,"Buttermilk, reduced fat (2%)","Buttermilk, reduced fat (2%)",56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.39,0.0,0.0,4.1,0.0,16,1.5,0.11,143,0.06,13,180,1.242,105,0.0
11115300,"Buttermilk, whole","Buttermilk, whole",62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.7,0.0,0.0,3.21,0.0,47,0.0,0.07,115,0.03,10,135,1.899,105,0.0
11115400,"Kefir, NS as to fat content","Kefir, NS as to fat content",52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.35,0.0,0.0,3.59,0.0,174,0.8,0.04,124,0.04,12,159,0.596,38,0.0
11116000,"Goat's milk, whole","Goat's milk, whole",69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,3.53,0.0,0.0,3.56,0.0,57,1.3,0.07,134,0.05,14,204,2.667,50,0.0
11120000,"Milk, dry, reconstituted, NS as to fat content","Milk, dry, reconstituted, NS as to fat content",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,58,0.6,0.0,114,0.03,11,159,0.044,51,0.0
11121100,"Milk, dry, reconstituted, whole","Milk, dry, reconstituted, whole",76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,3.47,0.0,0.0,4.01,0.0,39,1.3,0.09,142,0.07,14,203,2.554,60,0.0
11121210,"Milk, dry, reconstituted, low fat (1%)","Milk, dry, reconstituted, low fat (1%)",40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.4,0.0,0.0,3.17,0.0,65,0.6,0.03,113,0.03,11,157,0.633,51,0.0
11121300,"Milk, dry, reconstituted, fat free (skim)","Milk, dry, reconstituted, fat free (skim)",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,1,0.6,0.0,114,0.03,11,159,0.044,51,0.0
11210050,"Milk, evaporated, NS as to fat content","Milk, evaporated, NS as to fat content",134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,6.36,0.0,0.0,6.81,0.0,65,1.9,0.14,261,0.19,24,303,4.591,106,0.0
11211050,"Milk, evaporated, whole","Milk, evaporated, whole",134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,6.36,0.0,0.0,6.81,0.0,65,1.9,0.14,261,0.19,24,303,4.591,106,0.0
11211400,"Milk, evaporated, reduced fat (2%)","Milk, evaporated, reduced fat (2%)",92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.76,0.0,0.0,7.42,0.0,131,1.2,0.05,285,0.28,27,326,1.214,113,0.0
11212050,"Milk, evaporated, fat free (skim)","Milk, evaporated, fat free (skim)",78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,7.55,0.0,118,1.2,0.0,290,0.29,27,332,0.121,115,0.0
11220000,"Milk, condensed, sweetened","Milk, condensed, sweetened",321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,8.1,11.71,0.0,7.91,0.0,74,2.6,0.16,284,0.19,26,371,5.486,127,49.182
11300100,"Non-dairy milk, NFS","Non-dairy milk, NFS",29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.12,0.12,0.0,0.0,0.65,0.12,0.57,0.0,1.04,0.2,77,0.0,1.8,164,0.32,8,80,0.237,60,2.3939999999999997
11320000,Soy milk,Soy milk,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.86,0.0,0.77,0.0,2.6,0.2,55,0.0,0.11,123,0.42,15,122,0.205,47,3.2340000000000004
11320100,"Soy milk, light","Soy milk, light",30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.16,0.0,0.53,0.0,2.38,0.3,61,0.0,0.06,123,0.43,15,117,0.005,48,2.2260000000000004
11320200,"Soy milk, nonfat","Soy milk, nonfat",28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.77,0.0,2.47,0.2,61,0.0,0.08,116,0.35,10,105,0.0,57,3.2340000000000004
11321000,"Soy milk, chocolate","Soy milk, chocolate",63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.92,0.0,1.78,0.0,2.26,0.4,70,1.7,0.11,126,0.48,15,143,0.24,53,7.476000000000001
11321100,"Soy milk, light, chocolate","Soy milk, light, chocolate",47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,1.6,0.0,2.1,0.7,61,0.0,0.13,123,0.59,15,144,0.032,46,6.720000000000001
11321200,"Soy milk, nonfat, chocolate","Soy milk, nonfat, chocolate",47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,1.6,0.0,2.1,0.7,61,0.0,0.13,123,0.59,15,144,0.032,46,6.720000000000001
11350000,"Almond milk, sweetened","Almond milk, sweetened",30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.95,0.0,0.38,0.2,86,0.0,2.7,177,0.27,6,64,0.077,69,3.9899999999999998
11350010,"Almond milk, sweetened, chocolate","Almond milk, sweetened, chocolate",41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.58,0.0,1.66,0.0,0.43,0.3,83,0.0,2.61,171,0.3,7,67,0.098,67,6.9719999999999995
11350020,"Almond milk, unsweetened","Almond milk, unsweetened",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.4,0.2,90,0.0,2.81,184,0.28,6,67,0.08,72,0.0
